Time(us),Pitch P,Pitch I,Pitch D,Pitch P rate,Pitch I rate,Pitch D rate
124827,-31.23, -0.05, -194.95, -7480.45,-0.00,-3404.10
124873,-31.24, -0.05, -195.10, -7491.10,-0.00,-3402.59
124923,-31.28, -0.05, -195.25, -7499.60,-0.00,-3408.20
124973,-31.28, -0.05, -195.42, -7514.91,-0.00,-3406.91
125026,-31.31, -0.05, -195.59, -7498.38,-0.00,-3413.02
125074,-31.35, -0.05, -195.71, -7520.84,-0.00,-3414.46
125125,-31.37, -0.05, -195.86, -7515.93,-0.00,-3418.06
125174,-31.40, -0.05, -196.02, -7538.25,-0.00,-3420.25
125225,-32.67, -0.27, -148.90, -8490.11,-0.00,-1400.52
125279,-20.13, -0.50, -37.41, -6415.98,-0.00,469.67
125323,-25.73, -0.67, -1.11, -10328.93,-0.00,-186.06
125375,-41.97, -1.06, 0.25, -2294.18,-0.00,167.87
125423,-36.60, -1.40, -0.37, -2612.59,-0.00,149.12
125477,-47.66, -1.76, -1.23, -7598.91,-0.00,-402.89
125523,-50.60, -2.18, -4.97, -4134.23,-0.00,-69.44
125573,-30.18, -2.57, 4.33, -2096.47,-0.00,264.97
125623,-17.47, -2.78, 11.23, 695.33,-0.00,206.93
125673,-13.26, -2.92, 10.88, 9281.02,-0.00,0.49
125723,-2.64, -2.94, 11.73, 9385.92,-0.00,-378.38
125774,-15.64, -2.95, 4.30, -9495.33,-0.00,-1279.02
125825,-24.66, -3.10, -8.40, -7799.15,-0.00,-140.62
125873,-31.23, -3.33, -10.57, -8997.91,-0.00,-123.46
125923,-31.30, -3.61, -9.00, -1646.52,-0.00,367.53
125974,-43.00, -4.03, -8.05, 5471.23,-0.00,-84.05
126024,-66.46, -4.52, -12.51, -7982.42,-0.00,-818.67
126075,-51.82, -5.06, -9.63, 5704.07,-0.00,1180.03
126124,-65.35, -5.57, -1.41, -4416.29,-0.00,-1115.80
126173,-73.75, -6.27, -5.37, -5495.57,-0.00,-346.76
126223,-73.36, -6.92, -6.53, -4194.12,-0.00,191.07
126273,-98.95, -7.74, -13.78, -6435.96,-0.00,-515.03
126323,-108.77, -8.67, -14.98, -9662.41,-0.00,-5.84
126373,-121.11, -9.91, -14.50, -12659.40,-0.00,279.66
126423,-124.87, -11.02, -8.63, -6594.57,-0.00,252.44
126474,-124.60, -12.15, -3.82, -7897.05,-0.00,-164.94
126523,-128.51, -13.29, -0.60, -15075.13,-0.00,-64.36
126574,-141.57, -14.73, -6.62, -6764.43,-0.00,202.69
126623,-147.41, -16.05, -8.93, -9138.38,-0.00,-16.31
126673,-142.56, -17.34, -2.82, -6172.42,-0.00,344.17
126723,-156.42, -18.67, -1.73, -16508.72,-0.00,-317.95
126774,-154.79, -20.27, -3.29, -25944.12,-0.00,-216.23
126824,-182.67, -21.86, -15.38, -12924.05,-0.00,-181.15
126873,-180.51, -23.49, -12.08, -14828.08,-0.00,633.13
126923,-179.36, -25.13, -4.14, -9979.05,-0.00,120.98
126973,-185.52, -27.03, -0.12, -10764.23,-0.00,-578.84
127023,-188.92, -28.68, -0.82, -17065.33,-0.00,-292.60
127073,-201.44, -30.43, -5.93, -21133.61,-0.00,150.85
127123,-197.87, -32.21, -5.61, -13534.25,-0.00,556.08
127173,-193.33, -34.27, -1.18, -4181.00,-0.00,411.99
127223,-199.91, -36.06, -1.19, -1802.94,-0.00,73.13
127273,-196.92, -37.85, -0.91, -8189.36,-0.00,-12.50
127323,-217.60, -39.73, -5.89, -23249.94,-0.00,-915.27
127373,-232.84, -42.14, -15.17, -10467.45,-0.00,909.67
127423,-234.59, -44.24, -10.12, -13394.00,-0.00,-4.69
127473,-245.29, -46.39, -6.70, -19088.96,-0.00,-405.37
127523,-260.35, -48.66, -9.28, -19769.65,-0.00,94.48
127573,-247.53, -51.29, -2.98, -19908.00,-0.00,41.46
127623,-240.07, -53.50, 2.89, -3873.50,-0.00,535.49
127673,-223.19, -55.58, 11.08, -6136.03,-0.00,346.47
127723,-210.55, -57.49, 17.11, -11486.09,-0.00,-306.10
127773,-219.56, -59.71, 7.69, -17157.16,-0.00,-164.78
127824,-223.63, -61.68, -2.70, -19542.04,-0.00,-295.70
127873,-227.87, -63.72, -8.06, -10610.85,-0.00,467.95
127923,-227.37, -65.76, -4.72, -22415.42,-0.00,-433.69
127973,-210.01, -67.72, 4.86, -8089.97,-0.00,1176.91
128023,-221.60, -69.99, 4.12, -15868.38,-0.00,-852.23
128073,-212.86, -71.93, 1.00, -16271.07,-0.00,677.36
128123,-198.02, -73.76, 7.01, -7091.89,-0.00,671.06
128173,-192.39, -75.78, 11.63, -19158.04,-0.00,-219.08
128223,-201.82, -77.55, 2.52, -19790.51,-0.00,-454.08
128273,-196.11, -79.36, -3.31, -11571.37,-0.00,285.52
128323,-202.04, -81.14, -1.15, -11017.95,-0.00,268.20
128373,-217.36, -83.35, -7.71, -14502.98,-0.00,-257.01
128423,-196.15, -85.18, -0.18, -10359.95,-0.00,143.74
128473,-172.50, -86.80, 15.76, -6677.00,-0.00,699.06
128523,-169.30, -88.33, 15.86, -4071.39,-0.00,-458.24
128573,-162.54, -90.07, 8.62, -9689.40,-0.00,-113.19
128623,-152.97, -91.49, 6.34, -3348.81,-0.00,328.89
128673,-139.71, -92.82, 8.17, -9093.92,-0.00,503.48
128723,-120.70, -93.94, 17.49, -7264.28,-0.00,-156.14
128773,-101.80, -95.14, 15.25, -8748.34,-0.00,384.34
128823,-99.36, -96.07, 12.04, -2524.52,-0.00,92.28
128873,-76.38, -96.79, 17.27, -7992.99,-0.00,-216.88
128923,-68.19, -97.43, 14.67, -284.55,-0.00,555.14
128975,-31.42, -97.89, 21.51, -9907.25,-0.00,58.44
129023,-5.55, -98.04, 26.22, -5127.14,-0.00,67.00
129073,-8.89, -98.13, 15.41, 3185.24,-0.00,377.16
129123,2.99, -98.11, 12.54, -8149.39,-0.00,-854.09
129173,5.10, -98.07, 4.76, -13209.62,-0.00,-69.99
129223,19.95, -97.99, 3.35, -10539.66,-0.00,350.23
129273,45.62, -97.61, 20.38, -8672.39,-0.00,257.22
129323,55.90, -97.13, 19.71, -3493.34,-0.00,392.99
129373,77.94, -96.47, 11.95, 2068.83,-0.00,48.58
129423,101.09, -95.68, 18.33, -2949.65,-0.00,67.67
129474,100.80, -94.73, 19.59, 1813.36,-0.00,-200.37
129523,110.59, -93.78, 9.70, 1284.96,-0.00,249.00
129573,110.66, -92.59, 5.55, -7347.82,-0.00,-725.51
129623,135.83, -91.41, 11.72, 2717.18,-0.00,352.25
129673,163.80, -90.04, 19.07, 4311.98,-0.00,-226.39
129723,174.37, -88.48, 23.15, -11951.38,-0.00,-632.42
129773,180.46, -86.64, 10.65, 2788.84,-0.00,-57.12
129823,202.09, -84.91, 11.98, 447.69,-0.00,473.72
