Time,Pitch,Roll
0.037,0.23,-0.05
0.090,0.53,-0.10
0.140,0.80,-0.14
0.190,1.05,-0.17
0.240,1.29,-0.20
0.290,1.53,-0.22
0.340,1.75,-0.26
0.390,1.95,-0.25
0.440,2.15,-0.26
0.490,2.34,-0.30
0.540,2.52,-0.32
0.590,2.70,-0.35
0.640,2.87,-0.36
0.690,3.02,-0.40
0.740,3.17,-0.40
0.790,3.30,-0.43
0.840,3.44,-0.45
0.890,3.57,-0.45
0.940,3.69,-0.48
0.990,3.80,-0.50
1.040,3.92,-0.53
1.090,4.02,-0.53
1.140,4.12,-0.55
1.190,4.20,-0.57
1.240,4.28,-0.58
1.290,4.34,-0.59
1.340,4.41,-0.60
1.390,4.47,-0.62
1.440,4.54,-0.63
1.490,4.60,-0.62
1.550,4.67,-0.63
1.600,4.72,-0.65
1.650,4.76,-0.67
1.700,4.82,-0.71
1.750,4.86,-0.72
1.800,4.91,-0.73
1.850,4.96,-0.75
1.900,4.99,-0.77
1.950,5.05,-0.77
2.000,5.09,-0.75
2.050,5.14,-0.75
2.100,5.18,-0.75
2.150,5.23,-0.76
2.200,5.31,-0.75
2.250,5.35,-0.76
2.300,5.37,-0.76
2.350,5.40,-0.76
2.400,5.41,-0.76
2.450,5.44,-0.76
2.500,5.46,-0.77
2.550,5.50,-0.76
2.600,5.52,-0.77
2.650,5.53,-0.77
2.700,5.53,-0.77
2.750,5.61,-0.72
2.800,5.59,-0.76
2.850,5.33,-0.98
2.900,5.01,-0.69
2.950,5.06,-0.37
3.000,4.63,-1.52
3.100,4.55,-4.98
3.150,3.82,-4.76
3.200,3.59,-7.26
3.250,2.98,-8.72
3.300,2.18,-11.24
3.350,0.71,-14.38
3.400,-0.60,-17.14
3.450,-2.53,-21.11
3.500,-3.64,-23.39
3.550,-5.51,-26.81
3.600,-7.28,-29.83
3.650,-8.42,-31.70
3.700,-9.72,-33.79
3.750,-10.76,-36.07
3.800,-11.65,-39.02
3.850,-12.39,-42.46
3.900,-13.44,-47.79
3.950,-14.07,-52.11
4.000,-14.42,-54.90
4.050,-14.49,-57.15
4.100,-14.57,-59.09
4.150,-14.50,-60.77
4.200,-14.94,-61.64
4.250,-15.30,-63.41
4.300,-15.66,-66.25
4.350,-16.39,-68.00
4.450,-18.23,-67.16
4.500,-18.71,-66.85
4.550,-18.98,-65.25
4.600,-19.06,-62.85
4.650,-19.77,-57.00
4.700,-20.59,-51.47
4.750,-21.26,-45.26
4.800,-21.65,-40.46
4.850,-21.52,-38.75
4.900,-21.86,-32.84
4.950,-21.28,-26.88
5.000,-19.69,-24.41
5.050,-17.98,-17.63
5.100,-16.43,-12.77
5.150,-15.12,-8.41
5.200,-14.20,-3.47
5.250,-12.60,2.08
5.300,-12.22,6.57
5.350,-12.23,10.60
5.400,-11.84,16.56
5.450,-13.55,20.98
5.500,-15.77,25.29
5.550,-16.15,27.48
5.600,-17.00,30.98
5.650,-18.12,33.63
5.700,-18.44,35.87
5.800,-19.44,40.46
5.850,-19.17,41.31
5.900,-18.74,41.53
5.950,-18.65,41.85
6.000,-18.44,41.56
6.050,-18.09,39.83
6.100,-18.40,38.41
6.150,-18.33,38.03
6.200,-17.59,36.62
6.250,-16.87,34.81
6.300,-15.99,32.18
6.350,-15.75,29.58
6.400,-15.32,27.62
6.450,-15.27,25.30
6.500,-15.63,24.00
6.550,-15.45,22.47
6.600,-14.79,19.43
6.650,-14.89,16.65
6.700,-15.44,12.24
6.750,-16.15,6.73
6.800,-16.58,1.42
6.850,-15.91,-5.62
6.900,-14.78,-9.63
6.950,-13.42,-13.68
7.000,-11.53,-16.75
7.050,-9.81,-20.86
7.160,-4.11,-30.61
7.210,-2.60,-36.28
7.260,-1.28,-41.80
7.310,-0.72,-45.82
7.360,-0.48,-48.67
7.410,0.06,-52.23
7.460,0.44,-53.70
7.510,0.87,-53.21
7.560,2.04,-53.05
7.610,2.51,-52.43
7.660,2.52,-51.92
7.710,2.48,-50.18
7.760,3.72,-48.64
7.810,4.76,-45.47
7.860,5.00,-42.90
7.910,5.36,-39.71
7.960,5.15,-37.75
8.010,4.67,-35.44
8.060,3.30,-30.90
8.110,2.27,-25.73
8.160,1.37,-17.93
8.210,0.39,-12.98
8.260,-0.47,-7.08
8.310,-1.88,-0.70
8.360,-4.08,6.71
8.410,-5.69,11.36
8.460,-6.88,14.23
8.510,-9.09,17.28
8.620,-12.11,27.38
8.670,-14.85,31.00
8.720,-17.37,30.74
8.770,-17.29,29.77
8.820,-13.45,26.51
8.870,-12.36,23.45
8.920,-12.28,16.48
8.970,-14.44,11.33
9.020,-18.22,9.78
9.070,-18.85,8.53
9.120,-19.59,9.20
9.170,-21.00,9.46
9.220,-21.92,9.14
9.270,-25.12,9.25
9.320,-32.45,9.22
9.370,-32.18,9.12
9.420,-32.84,9.70
9.470,-34.72,9.19
9.520,-36.91,8.97
9.570,-41.10,9.01
9.620,-45.04,7.39
9.670,-47.61,8.56
9.720,-49.13,11.32
9.770,-51.30,11.90
9.820,-54.53,14.53
9.870,-55.45,13.58
9.920,-59.13,14.84
10.030,-64.39,18.56
10.080,-66.02,20.94
10.130,-67.20,23.10
10.180,-68.63,25.98
10.230,-69.36,28.34
10.280,-68.91,30.21
10.330,-68.15,31.47
10.380,-67.09,32.94
10.430,-67.69,36.19
10.480,-67.82,41.12
10.530,-57.50,44.49
10.580,-55.84,46.50
10.630,-53.89,47.25
10.680,-51.25,47.36
10.730,-47.50,45.16
10.780,-43.72,43.44
10.830,-33.36,44.85
10.880,-26.95,43.36
10.930,-22.56,39.31
10.980,-18.40,34.85
11.030,-14.75,30.30
11.080,-10.32,23.73
11.130,-9.07,15.96
11.180,-10.37,11.93
11.230,-11.05,8.62
11.360,-5.77,8.30
11.410,-3.08,8.36
11.460,0.37,7.51
11.510,2.66,6.82
11.560,4.89,8.67
11.610,5.85,7.94
11.660,7.20,7.09
11.710,8.20,7.16
11.760,8.51,11.35
11.810,7.73,13.87
11.860,6.66,13.98
11.910,3.20,12.99
11.960,-2.27,8.46
12.010,-3.80,5.54
12.060,-6.87,2.85
12.108,-9.63,0.43
12.158,-12.40,-2.00
12.208,-15.04,-4.31
12.258,-17.54,-6.50
12.308,-19.96,-8.61
12.358,-22.18,-10.56
12.408,-24.33,-12.44
12.458,-26.37,-14.23
12.508,-28.31,-15.93
12.558,-30.16,-17.55
12.608,-31.90,-19.07
12.658,-33.56,-20.53
12.828,-41.92,-27.57
12.878,-43.08,-28.59
12.928,-44.20,-29.59
12.978,-45.23,-30.50
13.028,-46.22,-31.39
13.078,-47.17,-32.23
13.128,-48.07,-33.02
13.178,-48.93,-33.79
13.228,-49.73,-34.50
13.278,-50.50,-35.18
13.328,-51.23,-35.83
13.378,-51.93,-36.45
13.428,-52.60,-37.05
13.478,-53.22,-37.60
13.528,-53.81,-38.12
13.578,-54.38,-38.63
13.628,-54.92,-39.10
13.678,-55.44,-39.57
13.728,-55.91,-39.99
13.778,-56.37,-40.40
13.828,-56.81,-40.79
13.878,-57.23,-41.16
13.928,-57.63,-41.52
13.978,-58.00,-41.84
14.078,-61.18,-44.52
14.128,-61.38,-44.70
14.178,-61.57,-44.87
14.228,-61.77,-45.05
14.278,-61.91,-45.19
14.328,-62.07,-45.34
14.378,-62.23,-45.48
14.428,-62.37,-45.62
14.478,-62.52,-45.76
14.528,-62.64,-45.87
14.578,-62.77,-45.98
14.628,-62.88,-46.09
14.678,-63.00,-46.20
14.728,-63.11,-46.31
14.778,-63.20,-46.39
14.828,-63.30,-46.48
14.878,-63.39,-46.57
14.928,-63.48,-46.65
14.978,-63.57,-46.73
15.028,-63.64,-46.80
15.078,-63.72,-46.86
15.128,-63.79,-46.93
15.178,-63.85,-46.99
15.228,-63.93,-47.06
15.328,-66.81,-49.47
15.378,-66.72,-49.40
15.428,-66.64,-49.34
15.478,-66.56,-49.28
15.528,-66.52,-49.24
15.578,-66.42,-49.17
15.628,-66.36,-49.12
15.678,-66.30,-49.08
15.728,-66.24,-49.03
15.778,-66.20,-49.00
15.828,-66.13,-48.95
15.878,-66.08,-48.91
15.928,-66.04,-48.87
15.978,-65.99,-48.84
16.028,-65.96,-48.81
16.078,-65.91,-48.77
16.128,-65.87,-48.74
16.178,-65.83,-48.72
16.228,-65.80,-48.69
16.278,-65.77,-48.67
16.328,-65.73,-48.64
16.378,-65.70,-48.62
16.428,-65.67,-48.59
