# Crazyflie commander script
# roll pitch yaw thrust

0 0 0 0
0 0 0 10000
0 0 0 20000
0 0 0 30000
0 0 0 40000
0 0 0 30000
0 0 0 20000
0 0 0 10000
0 0 0 0

5 0 0 25000
10 0 0 25000
15 0 0 25000
10 0 0 25000
5 0 0 25000
0 0 0 25000

0 5 0 25000
0 10 0 25000
0 15 0 25000
0 10 0 25000
0 5 0 25000
0 0 0 25000

0 0 10 25000
0 0 20 25000
0 0 30 25000
0 0 20 25000
0 0 10 25000
0 0 0 25000

-10 0 0 30000
10 0 0 30000
-10 0 0 30000
10 0 0 30000
0 0 0 20000

0 -10 0 28000
0 10 0 28000
0 -10 0 28000
0 10 0 28000
0 0 0 15000

0 0 -30 20000
0 0 30 20000
0 0 -30 20000
0 0 30 20000
0 0 0 0
